# General
## Title
### Air Temperature
## Abstract
### CMIP5
## Date
### 2021-02-24
## Date type
### Publication: Date identifies when the data was issued
## Unit
### K
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : WEMC
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@wemcouncil.org
### Organisation name
#### World Energy & Meteorology Council
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### NA
## Temporal extent
## Begin date
### 1951-01-01-0000
## End date
### 2098-12-31-2100
## Temporal resolution
### 1 month
## Geographic bounding box
### westBoundLongitude -22.00
### eastBoundLongitude 45.00
### southBoundLatitude 27.00
### northBoundLatitude 72.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1951-01-31,272.33897919411464,262.905644816344,266.4136855799214,266.3883039544537,267.56618809015316,262.3708557917364,283.945900707938,262.6592068605311,264.3353897581976,268.24627395330765,259.4529266843467,275.51696336533007,277.330572583656,256.55235597888196,270.4398140507065,267.29267318510614,264.62310458506215,276.88135046803,270.38952993556484,272.33960396270135,,260.62753977215584,265.6144220220351,260.0828562476138,267.38099616087015,268.62013745336117,,265.58687665483393,261.59941318360495,261.98623243449595,280.8489372614677,264.25853117037275,265.6159520943667,262.2240772707835,266.04804486930453,262.8801636031467,273.7645461693591,273.0971055381053
1951-02-28,271.83334635155285,264.392908948926,267.2560064095819,266.00856905848707,267.0266678390457,264.16315711656324,282.08623093926786,262.9842279053086,264.8506517565566,268.71830697002827,261.9333676093718,274.049630481707,278.22297442068844,261.1066944133624,270.08635636770845,267.16806123634404,264.3804126006485,275.77764708376316,269.6430298785254,273.2520023269199,,262.3267298225381,265.6230945682632,262.05034942532956,269.0984931434913,268.9963948650347,,266.52406454132796,266.51300397178215,262.5342169530217,281.1945653192039,264.6805119500372,266.23538824730457,264.45943263272096,266.59467595544186,263.58292798997604,271.1656614028126,272.4214264024699
1951-03-31,278.7816793244887,275.8068582953293,277.0891186972759,280.1076784851797,274.8775536606412,274.53129893075237,284.8202733718627,276.6829260374034,278.54864776528143,276.97682242997956,273.34194329778353,280.6446166180584,283.61113021996283,270.1458342696464,281.2644095937769,278.6599126475299,277.1195665180726,279.85903002066675,269.2629816132341,281.0062966131158,,274.73565892897795,279.3107724869288,274.0193186229742,276.0912093714101,277.2150649084246,,279.7066351321839,271.6049685234747,277.23377571334953,285.44260372913106,274.67123525647264,275.9768794494146,272.1105234026101,278.2822761028764,276.11998104481233,275.0895184137385,279.2069688325298
1951-04-30,282.4167812748182,280.5345800464248,282.6502313472237,282.20973773330894,282.0168356476136,277.3969290837921,287.85948812709,281.99065156725413,281.81674437434054,279.8319393475751,278.45829757766256,284.25502521557576,285.36714647864227,275.4924632869054,283.6185925363058,284.6847368050043,284.81003497187004,281.96867072227644,272.06671825688164,283.7574141468753,,280.19257197071545,281.93754491545945,279.4858834861842,280.1429473331082,282.590896870567,,281.576669018518,275.56520898553913,281.8038367544353,287.52158889554084,281.9822232957691,283.5501341060307,277.3545953682434,283.54953493983635,282.50330859275545,279.43384711814616,281.09766944621714
1951-05-31,289.01821790258583,285.1264962111016,288.43416449426485,284.9148146424853,289.69084378159,282.03922209489417,293.0189325480492,287.4001508312973,286.1267530164298,284.4448729693385,286.16746991701797,290.76206538484405,286.30092647655465,281.60140580638847,286.006363002858,290.1394819510384,291.43439006376224,283.219573062583,274.3870099379262,287.82091100756355,,288.09608774852904,285.59809037630265,287.57735570118035,286.76195060286284,289.74914952767443,,284.98649822593757,278.82774762617555,288.7189919746797,288.11714847992215,289.7861360213333,290.67443986315817,281.5077563550402,287.7840154578763,288.62407783779776,286.904124411784,282.91310848452076
1951-06-30,290.60516654472053,286.15851751428147,289.02388479913026,287.66336026843953,291.3468107792849,284.8398287815192,298.0529945697941,287.9791041262427,287.76451476160474,286.4268330775121,287.5275428374971,293.5090301986205,292.75664321788884,286.35332790592287,288.9361217404945,290.64128688324934,290.87019980999725,284.82014437657097,279.77629928174696,290.88805127916226,,288.15549551280037,288.1386112656936,287.87320244417634,288.20885812678324,291.0172993531974,,287.8331599800101,283.5109736648297,288.2070891587316,292.27791228913867,290.30738887980084,290.59279593751603,285.69430045638427,289.23039611257826,288.24994525232864,291.5524969096481,284.7253152017166
1951-07-31,292.74987263223676,287.46668404746396,290.0392019044081,289.41860772535796,292.67777215131275,286.9333142961121,300.2979319965563,288.55387540088833,289.2786106100659,288.57113286700667,289.23883047724763,295.7099137289763,295.69665801154275,287.07824931078505,291.694717119729,292.35838730993856,291.6450590609485,287.61048009892863,280.99389786624795,293.3826654736524,,288.7906491083684,289.6461085089257,288.86391321562525,289.4247768063588,292.47489791990614,,289.58478977710377,284.51303629305124,289.02986652839684,294.1148861333308,290.74895436894093,291.39039524482985,286.2462949061616,290.9369372053306,288.64226196721967,295.22512609539496,287.4728017431677
1951-08-31,295.0801013024124,291.9289907943287,293.7537036073558,291.39079692194025,294.83773740812524,289.83151793678945,300.49723518159954,293.36709549804584,292.6369693971115,289.92161125770724,288.2026665235158,296.6799934570769,295.09993671503867,284.5135634206084,293.0405765165907,295.881951986678,296.2913196519463,287.0822537282388,280.5013714927379,295.6993716930666,,289.65706816094956,292.43918813471686,288.6869778976951,292.6427178156949,295.03871769633815,,291.44506255530035,284.10603813533436,292.5310225246533,293.12994910659097,294.1741862919058,295.17353645229457,285.5591124996299,294.6409487218769,293.29761963131466,295.0709501684375,287.6209581319488
1951-09-30,291.36945591804056,286.2976087821122,289.3376517219206,287.2622871059584,290.4492112763291,285.05488671826424,297.2351052213058,287.1811611789221,287.4173927161804,285.83064075929974,282.0110514808617,292.9046322076269,292.086114422782,278.7722810809977,289.2330115521648,291.1938850474655,290.1034388572404,283.8374349296339,276.92777063051847,292.3597514558367,,283.7709992939029,287.29353458559655,282.67156621437283,288.72154030882996,290.87756374280616,,287.1365660743035,279.2729288212286,286.2878074363718,291.2827974305034,288.6219812815421,290.2331430824201,280.1824155554971,289.63580405453826,286.89318711171364,290.40649654369724,284.44861981513765
1951-10-31,284.6191054013012,279.07442749999376,282.34137742371814,282.5770952998156,282.93010223013977,279.3465688185174,292.5806205770353,279.8553939510285,281.2317288374055,281.43191593022215,278.66559055416644,286.6447993419143,286.52705124829737,273.0811723533536,284.444200956806,283.5461667496521,281.7746290851382,282.42442375387196,272.3827894612152,286.559604279393,,279.57289828571857,281.21916071765287,279.1365473016161,281.9626952454229,282.9685733079706,,282.930892633948,272.8807422763002,280.3802844988386,288.38343124632496,281.15509946392905,282.4186092171661,273.5981624738604,281.78855516150566,279.1575595228136,284.4154558345995,281.97937621994055
1951-11-30,280.5385308406781,274.4375576651652,277.58392022646024,279.5733945541785,279.5745600426543,272.90433035759924,289.8822030584041,275.7973062495004,277.43418539193766,277.9644278353122,275.0078597156497,283.2242945756316,281.0417199651612,269.69395351129054,279.48127931179624,278.68498172155904,278.07869949149284,281.04127673345636,268.3335557900355,280.7832501066383,,275.8034901344076,277.92313797023144,275.5700281167744,277.37964762739375,278.8209778339359,,280.3624065921151,268.9694465995263,276.33457841518236,283.0773650492659,277.5263862141562,278.317843215944,269.72140064969756,277.5188836107294,275.9931612465665,280.96945320358174,279.800828973219
1951-12-31,276.5014296791638,269.76460723978875,273.18594876961083,276.4093740236415,274.8483124946574,268.8946568112258,284.88474976351125,272.2592391453695,274.49315327190675,273.52936255580755,268.8408239781959,279.42017532115494,278.8265853433084,262.66450747711593,276.6928123715336,274.5554654008643,272.939937296516,277.5075955697397,265.44432526978557,276.5633598170535,,270.70825007476003,275.44527765860425,269.7896531773661,273.400928825621,274.4628059729779,,277.2033299838517,263.48481998470737,271.91447808769954,281.36278774524834,272.00121735426626,272.672519559642,263.354332246015,272.4507946285778,270.8667018458696,274.06017891829794,275.9621824203309
1952-01-31,275.9938865299055,272.5482326989787,274.86566538761537,279.3266823853624,274.4836907493879,270.5185829348454,282.66847513642983,276.15971574188933,277.81711420968713,277.9540441120176,273.6634363330915,278.8093358704945,279.45800746604044,268.71284454684184,278.3796844913661,276.9659448093736,276.4900456356827,279.4462657452048,266.37538811283946,277.6869207538119,,274.5069650997713,278.0446311165744,273.88561454318005,273.36214692650697,274.0629242369079,,280.1055383082829,269.5429721504766,276.4188214946596,281.10371164135415,273.45205133305467,274.97543363491116,269.9046627537728,275.1050669284366,274.82337695892363,272.1332344806655,279.11144416125114
1952-02-29,274.95405273881,271.1440894122601,273.55469651657427,274.7179006268284,275.09881027515706,269.4275972861004,282.8041976094426,272.8565506216922,273.67937188336134,275.22694833195277,272.06067047767203,277.84907947862627,279.48297160365456,264.95908854115225,276.0273076220339,275.46727436339364,274.80625037667187,278.56460131965366,267.2970918678396,276.5577223232742,,273.2046815112533,272.82423853682775,273.00656296730176,271.83984358046575,274.0526897560848,,275.83679833302307,267.5573516584645,273.74777020759836,281.71855352187,273.97604533671523,274.6497945943514,267.3971432255975,274.2882286139408,272.5006834731784,273.2611950480103,276.9381362334175
1952-03-31,277.6842045789918,274.05615302771525,276.3386169361911,277.70795813864487,278.09417821592507,271.83004054726837,285.6826411587756,275.89998474918707,276.28997252442883,275.6671470164457,270.45428362116064,280.4881649328657,281.1968898851053,267.3475530055236,278.4536259006187,278.6453443713892,278.06392828775284,279.0499640697307,270.0086431436053,279.39501616093145,,271.70216012359657,276.2289474158254,271.0336920849922,275.17343658457224,277.53917075854207,,278.0437838068436,269.5081926794858,275.5471914920103,283.46496751018833,276.9235272657186,277.903152596061,270.1049865068169,276.8156569073674,275.8559137641092,276.88637242383936,277.80780953312234
1952-04-30,281.4178462959671,275.88009481945215,280.2578908216568,278.8672686124785,283.22429039362487,273.48783149134994,290.84214242710135,277.75951149521916,278.2494512709943,278.07983617131384,278.17795166353756,284.6304490220352,282.04754270946694,273.75797527722716,279.6118349224561,281.9092342196388,282.02109500352526,280.9222777172164,274.3621787938401,281.3089447882141,,279.00023619388605,278.3812295850249,278.58321848780423,278.490198232797,281.80861191395195,,279.48423994274975,272.60761712232886,279.0784739170573,284.43319435990907,281.9657738495935,282.5642445667133,274.5147586559418,279.50193362086253,279.12094614035584,283.3791143610143,279.3808624806112
